business_id,name,address,city,state,stars
dKzp--NRN0dxkcvAczzSOw,Wok-A-Way Chinese Food & Wings,"2458 Dundas Street W, Unit 18",Mississauga,ON,3.5
GoXOq5SegVlAfaTwtDGTVQ,Kam Shing,6730 Chemin de la Côte-des-Neiges,Montréal,QC,3.5
hTxDm4gsHh01G4KFyQmhxQ,Grand Pearl Restaurant,594 64th Avenue NE,Calgary,AB,2.5
H7rUNMLOYNWKXTLx9poRXg,Happy Jade Seafood Chinese Restaurant,1425 Dundas Street E,Mississauga,ON,3
IDMkHKuwGmJCWv8V4lj8nQ,Six Degrees Community,"204 Spadina Avenue, 1st Floor",Toronto,ON,4.5
Wu_OmrEyhpllBnTNvOYSGQ,Restaurant Shi Tang,1622 De Maisonneuve W,Montréal,QC,4
oWDLyENvjBa5LZdRGGOrow,Golden Palace Restaurant,9886 Torbram Road,Brampton,ON,3
7U23rwCmVWasFQ0cHRMYVw,China 8,"5602 Tenth Line W, Unit 110",Mississauga,ON,3
cEqOh78v1g1RCWHyuHwQng,Buffet Yangtze,"Deerfoot Mall, 901 64 Avenue NE",Calgary,AB,3.5
HP-FMQcqSOEjTmOxVkJD-A,Bao Bao Dim Sum,83 Rue de la Gauchetiete O,Montréal,QC,4
y166Ve7c7y2EnnePytr71Q,1915 Lan Zhou Ramen,185 Dundas Street W,Toronto,ON,3.5
26Kt6gQRF7S6m7crwR0tjw,Hibachi Grill,"1848 Liverpool Road, Suite 6",Pickering,ON,4.5
WEw08dCcOiwH3Sw1f_8DKQ,Chinese Halal Restaurant,101 Ravel Road,North York,ON,3.5
e9smQsCHC7-ghr_7fWz4Mw,Lamb Kebab - Savory Chinese Crepes,492-A Dundas Street W,Toronto,ON,4
TxNeo206T0jMvRRQ4nKSIg,Wok Of Fame,"7700 Hurontario Street, Unit 602",Brampton,ON,3
LRJV0rsDft621knYC86SPA,Esquire Great Eastern,2579 Victoria Park Avenue,Scarborough,ON,3.5
tQH_DyUIWYOHMD7CYg6-jQ,Hakka Wok,9418 Markham Road,Markham,ON,3.5
WnPMdsIcW9oxyXnMNZB5hQ,Spicy Noodle Restaurant,3575 Du Parc Av,Montréal,QC,3.5
2ZZp5V8N0nHlsml01XBJUQ,JXY Dumpling Restaurant,"3250 Midland Avenue, Unit G",Toronto,ON,3.5
as5StqV9pbDhUM0AYP_j9g,Kim Moon Bakery,438 Dundas St W,Toronto,ON,3.5
uAPMb111euz5jJF8_VeO2A,La Casita Chinese Eatery,405 Dundas Street W,Toronto,ON,3
E7eOOXwMC7wwCRywsvNzUA,Congee Queen,"800 Boyer Boulevard, Unit 5",Mississauga,ON,4
RGg86O5SmjhiVglYYpWkEQ,Full House Chinese Cuisine,"4188 Finch Avenue E, Unit 1A",Scarborough,ON,3
xVHzCbDWCwmyavF5PgJRmg,Not Just Noodles,570 Yonge Street,Toronto,ON,3.5
-rx-9Ra2OHfmD1yaUS-CMg,Axia Restaurant & Bar,5045 Plantation Place,Mississauga,ON,3
3iq7mvnwfYlOmdzENYolng,Hutaoli Music Restaurant & Bar,2900 Warden Avenue,Scarborough,ON,3
H7_QV4LceybuWhuuIhlp_w,Hi Shanghai Restaurant,"Splendid China Mall, 4675 Steeles Ave E",Scarborough,ON,3.5
TvHC_I01Ilvd5_fFi4sqIg,Brothers Bakery,7077 Kennedy Road,Markham,ON,3.5
2OB0p5idPAicilqf_wzHLQ,Oxtail Pho & Banh Mi,814 Dundas Street W,Toronto,ON,3.5
I6oxEn1HT41S2GPrDKPPvA,Perfect Chinese Restaurant,4386 Sheppard Avenue E,Scarborough,ON,3
jMEGdDfVSSubmFZhFnUfrg,Regency Palace,328 Centre Street  SE,Calgary,AB,3.5
fcpGO67gqGptI-1vZpXPtA,M Trois,1926 Rue Staint-Catherine O,Montréal,QC,3.5
SvMBtzXfE-3H5pxoR7VD3w,Kenny's Gourmet,"1480 Major Mackenzie Drive E, Unit 7",Richmond Hill,ON,3
AEOTETRSzo5ubm4-Ud4PUg,Wok Box,106-288 Aspen Glen Landing SW,Calgary,AB,4
qgEKyJfuL5LBA6D3V9nR9g,Xiao Long Bao,"175 Commander Boulevard, Unit 1",Toronto,ON,3.5
XlqgkZiXx6l3sZa9ulUTew,Meet Noodles,D 103-1900 Fowler Drive,Mississauga,ON,4.5
ZzcMYCY5Gq6fJQUbmMMGpw,Mr. Ma,1 Place Ville-Marie,Montréal,QC,3.5
e1W5fwngUYf3kdsgxo4spg,Sang-Ji Fried Bao,1 Byng Avenue,North York,ON,4
s0kM86trPEkOKv3quDnoGw,Golden Sunrise Kitchen,"10610 Bayview Avenue, Unit 1-3",Richmond Hill,ON,3
2ZEnhnWEascgZDMdf6kfAg,Chez Chen,1618 Avenue Lincoln,Montréal,QC,4
vflFNEBMH1GSSjvZx3ItdA,U & Me Restaurant,233 Centre Street SW,Calgary,AB,3.5
9gmBTYCBC0uM6uCJdwK2Bw,Hui Lau Shan,505 Hwy 7,Markham,ON,2
lkM72Y21bjBqUGaW7iL7tQ,Very Fair,17 Milliken Boulevard,Toronto,ON,3
iAO50G98koWj0dflTzbs2g,Imperial Dynasty Restaurant,500 Country Hills Blvd NE,Calgary,AB,3.5
QGE9ZsMb7QLMsBf2OvfVMw,Dragon Chinese Restaurant,"118 - 5 Avenue SE, Suite 200, 2nd Floor",Calgary,AB,3.5
2gDHQELrlq3jVuZZfJeWUg,Chop Chop,771 Dundas Street W,Toronto,ON,4
soveyz-6QfPUfLZxdjyicA,Caravelle,1175A Rue Crescent,Montréal,QC,4
u3wWKIIdTZuAYqa2jHJoxA,Konner Chinese Restaurant,"3250 Midland Avenue, Unit 126",Toronto,ON,3.5
Q8MGRNuTnaoOG4xzReLpUg,China Palace,"60 Cottrelle Boulevard, Suite 20",Brampton,ON,2.5
mkQ31BFYV8ri7znJpHd7Ww,T.Pot China Bistro,100 - 9650 Harvest Hills Boulevard NE,Calgary,AB,3.5
t_rnyBYcjuCa5m-HWU0ZwQ,Dragon Pearl Restaurant,"9 Avenue SE, Unit 1223A",Calgary,AB,3.5
2FImjoBv0qvq9NumhcVOyA,South Asia Malaysian Cuisine,3700 Midland Avenue,Toronto,ON,3
FpFRtA1tagxqh_rLFs4XFQ,Sichuan Kungfu Fish,9021 Leslie Street,Richmond Hill,ON,4
0qk9V2K2xWgcCeiLGmU3Wg,Miss Lin Cafe,3601 Hwy 7,Markham,ON,3
mYr9GB-kjRW6I_fDql1Z6A,Hello Wonton Noodle,5313 Yonge Street,North York,ON,3.5
bPLyOh-ul8azUSgZmyR2vg,Richmond Court Restaurant,539 Bur Oak Ave,Markham,ON,2.5
ajkx7NWnjraj_uz20mdbhQ,Restaurant Cuisine Cantonaise,84 Rue de la Gauchetière Ouest,Montréal,QC,3
QHZw2L6LV1qmExNJbfhIsQ,Skyview Fusion Cuisine,8261 Woodbine Avenue,Markham,ON,3
Ugh0_VdoMj0JYaKMUTQfrQ,Sinopino Chinese Restaurant,4820 Av Sheppard E,Scarborough,ON,3.5
g6yfH6oH4B6KxmM6BGB5qQ,Yogi Noodle Delight,165 E Beaver Creek Road,Richmond Hill,ON,3
l9vx-OTdDPU-oHZ17aVxdg,Federick Restaurant,"160 New Delhi Drive, Suite 25",Markham,ON,3.5
HQpMwOOrGND3GaRqMNV9ig,Jim Chai Kee,270 W Beaver Creek Road,Richmond Hill,ON,4
xOUd1W3MmyHXnbr3DxDwqg,Ho Lee Chow,2204 Danforth Avenue,Toronto,ON,1
eD-XLSo-j8uIoTnIlrG8YA,Juicy Dumpling,"280 Spadina Ave, Unit M-N",Toronto,ON,4
SQbOGhzEWgyS8lNqkcu9Fw,Garden Hong Kong Cafe,"28 South Unionville Avenue, Unit 1035",Markham,ON,3.5
I62j-QfY4tO_gMKV-celEA,Lucky Moose Food Mart,393 Dundas Street W,Toronto,ON,3.5
fh-hCT2esNJEocdBdggWoQ,QJD Peking Duck Restaurant,7095 Woodbine Avenue,Markham,ON,3
ruHEkBY2ysclSFIcai4tfg,House of Wong,4601 Kingston Road,Scarborough,ON,2.5
DPoXCmKt5PNXEpZNirg96w,Fusion Flame,"155 Clark Boulevard, Unit 2",Brampton,ON,3
q3ilBINLR7KoBBlxSqCvlA,Pine House Cafe,21-5661 Steeles Avenue E,Toronto,ON,3.5
XEKx5litKe1KkfJpqtmJUw,Dong Kee,3838 Midland Avenue,Toronto,ON,3.5
EzGGUtQtbE8z57pqxE0I8w,Bamboo Buddha Chinese Resturant,752 King Street W,Toronto,ON,3.5
1VAsBosvx02jpvIUxiKvmg,The Dumpling Shop,184 Willowdale Avenue,Toronto,ON,4.5
6WR-XYwYsv7UyFOEIVMyyg,Impérial,"998 Boulevard Saint-Laurent, Étage 6",Montréal,QC,3.5
Kn57RIWAdnVfJHI1loLXOQ,Super Hakka Restaurant,1801 Lawrence Avenue E,Toronto,ON,3.5
9BgLsbR7bIhI7njaLLkMig,Que Ling Vietnamese Cuisine,4443 Sheppard Avenue E,Scarborough,ON,2.5
AbgNPAnuq8X90DUw5FQ2sQ,My Wonderful Kitchen,"350 Highway 7 E, Unit 101",Richmond Hill,ON,3
OXW2erFOPT-Oov6wChxWYA,Lee Chen Asian Bistro,214 King Street W,Toronto,ON,4
SmYGe2qXVsP8zXjhwJkNBw,New Hot Pot King,146 Old Kennedy Road,Markham,ON,3
1fQWV5PVyo6Gsu16KbotPQ,Toronto Acupuncture Studio,1116 College Street,Toronto,ON,4.5
W6HgKXp-gXozKjOqGqIOXg,On The Rocks,169 Front Street E,Toronto,ON,3
eYMYSZBmEeY4yCS2AuBXPg,Phoenix Kitchen + Lounge,"8060 Silver Springs Boulevard NW, Suite 140",Calgary,AB,3.5
VVW8mxu8Ru2UR3lVJYA81Q,Deer Garden Signatures,108-109 550 Highway 7 E,Richmond Hill,ON,3.5
tzKvRnRIemqa727XYV45UA,The Bean Sprout,1448 Lawrence Avenue E,Toronto,ON,4
c56XijYc2vT3YWhtXkPJaw,Northern Chinese Cuisine,713 College Street,Toronto,ON,4
TFXI1fbhrs_kHU-jTKRYCQ,Fish Legend,"3235 Highway 7 E, Unit 23-26",Markham,ON,3.5
VGZ_MJ7P3vSQMYyQf-mNjw,King Dragon Cuisine,"505 Highway 7 E, Unit 238, Building B",Markham,ON,3
pJVPEicWbvcz8ATQGick6g,Yuki Ramen,1616 Rue Sainte-Catherine O,Montréal,QC,4
sDQDMrb5xez4aASZ8U5qTg,Yan Woo Soya Bean Foods,H6 - 4350 Steeles Avenue E,Markham,ON,3.5
v-supbjeNBKNwomn3sLc8g,Fisherman Villa,25 Glen Watford Drive,Scarborough,ON,3.5
GkrElnysLT5iWSEbqcVkzg,Golden Joy Hakka Restaurant,"900 Albion Road, Unit 18",Toronto,ON,4
gtcsOodbmk4E0TulYHnlHA,Northwood,815 W Bloor Street,Toronto,ON,4
n_J4ryIX_f2CVdse8Wd-Ig,Ho Jan Chinese Restaurant,45 Carlton St,Toronto,ON,3
E4T1Z08kU1QmrYj8xh-Y0Q,Tian Xin Place,5 Glen Cameron Rd,Thornhill,ON,3
KHAt_XY7SiRBOZVPSDxJIg,Yuan Lei,4880 Boulevard des Source,Montréal,QC,3
7FlGlQaNx-FnYluwGgrnOw,Hakka Legend Asian Cuisine,"81 Middlecote Drive, Unit 8 and 9",Ajax,ON,3.5
BmSLyxm8b86dtzwuT7LqBA,Sun's Kitchen,4300 Steeles Ave E,Markham,ON,3.5
0M3KCmdY-_xlIu5vEqVq4A,Wonton Chai Noodle,"2890 Major Mackenzie DriveE, Unit 2",Markham,ON,4
MdS6EHt2RZFpn9fQXZc9Ig,Fav Cafe and Bar,3000 Highway 7 E,Markham,ON,3
ypu32D_yjErCge-2cgga3w,Chez Maxim Oriental,1059 Boulevard Saint-Laurent,Montréal,QC,3.5
7zQejWAhY4v4LXHR6bY7dg,Yu Garden,"8750 Bayview Avenue, Unit 14\15",Richmond Hill,ON,3
R8Mw0iFenJ3nwXuZb7Ql4A,Pun Cao Tong,550 Highway 7 E,Richmond Hill,ON,3
XIX4xuzrt3IzvjX9MtHr9g,Mayflower Chinese Food,1500 Royal York Road,Etobicoke,ON,3.5
yKuAM6kL5sSKtfoe9a3GpQ,Made In China,371 Yonge Street,Toronto,ON,3
wgAPiE2YllXAYOHPWPGc_w,Kam Han,103-12445 Lake Fraser Drive SE,Calgary,AB,3
NPiVx-WKsuOEl1v0eWdxYg,Sichuan Landscape Chinese Restaurant,416 Spadina Avenue,Toronto,ON,2.5
FSuV_LwkREet6LWpJzJxdA,Green Curry,200 Front Street W,Toronto,ON,3.5
KK7H1bVOMAJnDqMhBv2zpA,Chung Moi,2412 Eglinton Avenue E,Scarborough,ON,4
HO14ySQ5n70Z-XQCFCL1JA,Restaurant Winncie,3030 Boulevard Rome,Brossard,QC,3
UC2dfjZg8mrRh10maovQfw,Royale Fine Dining Banquet,648 Silver Star Boulevard,Toronto,ON,3.5
9g4jaW7IzcuwXg86eJbynw,Noodle Factory,1018 Rue Saint-Urbain,Montréal,QC,3.5
_HePiPCk9tmgezshWwZGOw,Regal Garden,643 Bloor Street W,Toronto,ON,4
a8fDCWlW8dRWb0QEf2vtAA,Mister Moon's Chinese Food,13311 Yonge Street,Richmond Hill,ON,2.5
Mn8PTuxCUu1A2_RlwXv3kw,Vintage Garden,1038 McNicoll Avenue,Toronto,ON,4
TQ5uHmIZmcXBBYOR8pvH-Q,Happy Panda Buffet,2692 Eglinton Avenue E,Scarborough,ON,2.5
6PdHFAW72p0sSrMCX0mmbw,Noodle Fans,61-1177 Central Parkway W,Mississauga,ON,3.5
SnqzOHp_COcrQbNsuPuHwg,Taste of Hakka,"3737 Major Mackenzie Drive, Unit 104",Vaughan,ON,3.5
ZOAid_xX3q85wAkBWtFDPg,Northwestern Chinese Cuisine,"8333 Kennedy Road, Unit 1077",Markham,ON,3.5
zgQHtqX0gqMw1nlBZl2VnQ,Momofuku Noodle Bar,"190 University Avenue, Ground Floor",Toronto,ON,3
xdfGzrJ1mx3mBx6m14Ebhw,Goldstone Noodle Restaurant,266 Spadina Avenue,Toronto,ON,3
A1ailXV5E0e9RobODEJ2BQ,Tong Ha Supreme BBQ,633 Silver Star Boulevard,Toronto,ON,4
Vp27tfpa318kEz_PwglbMA,Omni Palace Noodle House,235 Consumers Road,Toronto,ON,3.5
KpK9IDybfThL_sR0zF5t4Q,Super Taste Chinese Cuisine,4465 Sheppard Ave E,Scarborough,ON,3.5
g7bVip6ncXJC5xzkQMjohQ,Fickle,507 Yonge Street,Toronto,ON,2.5
rsQAS-k7GldsJm7UAtVyYA,Pho Con Bo,1625 Wilson Avenue,North York,ON,4
TtBNeqXSRh37VD-pW_VbAw,South China Noodles Delight,3380 Midland Avenue,Toronto,ON,4
aCQbOhehLeej31x6EMY5eQ,Spring Rolls,40 Dundas Street  W,Toronto,ON,2.5
C8Ehjy_oDzYcy3-wf32Y4A,Mekong River,5468 Dundas Street W,Toronto,ON,4
wg-1uNV3xHrjWEmULlAFPg,Trilogie,8521 Boulevard Saint-Laurent,Montréal,QC,4
Mksyt1TZQ-7vzCZjeuzfAg,CASA manila Restaurant,"879 York Mills Road, Unit 1",Toronto,ON,3
HSz7sKZBjJkishjxqUvOMQ,Billy Bakery & Cafe,"9665 Bayview Avenue, Unit 16",Richmond Hill,ON,3
E1WG9lbypCMKlKhAjzWRsQ,520 BBQ House,"3290 Midland Avenue, Unit 1",Toronto,ON,3
tBDkO-vfXrXMnLJu2sF0Hw,Sichuan Ren,5195 Yonge Street,Toronto,ON,2
heLF99lVDRf2Z-1kCWpHdQ,Ding-Ho Chinese Food,2873 Lawrence Avenue E,Scarborough,ON,2.5
baY3pCVhwAKyWFXagiOCNw,Sometime Restaurant,41 Baldwin Street,Toronto,ON,2.5
djVzd-9vZWisUKYDnn1TWA,Eden Chinese Food,1025 Coxwell Ave,East York,ON,2
udKD_WVoQZYww1sDYdebPw,Golden Wok Restaurant,120 Eringate Drive,Etobicoke,ON,2.5
mM5XynUk82upOm43mIJFHw,Royal Jade,"2100 Steeles Avenue W, Unit 1",Vaughan,ON,4.5
tpmMELSsUxS2x1FdM6k9nQ,Wu's Garden Buffet,3560 Victoria Park Avenue,Toronto,ON,2.5
ZoqJ-XGIK1bYb1fWgQzPAw,Long Zu Bbq,"888 Dundas Street E, Unit A2",Mississauga,ON,3
CZK8pOfcrG7QhhZTfeis8g,Yang's Chinese Cuisine,"8432 Leslie Street, Unit 110",Thornhill,ON,2.5
0vjgAYQ-2mSs51_S75rOQQ,Star Walk Buffet,648 Silver Star Blvd,Scarborough,ON,3
NF6di6YcQxN0rDAleE7SyQ,Ten Ren's Tea,"111 Times Avenue, Unit 101",Thornhill,ON,3.5
CanfdSFEs_o_h9SBvxyXlg,Duck,444 Yonge St,Toronto,ON,3.5
o7fdfZeYiSIy1gfTZeDu2A,Garlic Onion,10755 Leslie St,Richmond Hill,ON,3
YTMYCiBb_-sykowc05d3ug,Snow Palace,45 Crowfoot Rise NW,Calgary,AB,4
6OhahrmtLGmkUdPfaMck0A,Ding Tai Fung,"175 Commander Boulevard, Unit 1",Toronto,ON,3.5
s2gO3yd3yef3ws0OtgZ_TQ,FootBar,"550 Highway 7 E, Suite 32A",Richmond Hill,ON,4.5
Cs8BaiKkyNU6mzxq9nTsmg,Congee Queen,"5308 Highway 7, Suite 5 & 6",Markham,ON,3.5
2jkJ7odjlDIvDqJf2dwzaA,New East Garden,"2889 St Clair E, Unit 5",Toronto,ON,3
88RkIuXwJeDzfzSu9xsyzw,Asian Legend,125 Ravel Road,North York,ON,3.5
qSzICKCd041EdjjGNgMYrQ,Crown Jewel Fine Dining,325 Bamburgh Circle,Scarborough,ON,3
3l_rMuRs97IKEA1DCZokOA,Best Friend Restaurant,888 Dundas Street E,Mississauga,ON,3
ABRgXNwdOX_JyqChNr8IYw,Swatow Restaurant,309 Spadina Avenue,Toronto,ON,4
UscHTL4dosXCsya15keQqQ,Spicy & Sweet,645 Saint Clair Avenue W,Toronto,ON,2.5
eNFubUPJR7yIQah-NxZN_g,Yu Seafood,270 W Beaver Creek Rd,Richmond Hill,ON,3
PRUhSfe7ihf3nLcihudsuQ,D & R Wing's Restaurant,325 Bamburgh Cir,Scarborough,ON,3
vYbpodi9utup_njMK5PAfw,Nudo,1055 Boulevard Saint-Laurent,Montréal,QC,4
UglIW3RciYxD701IaiDn8A,Toi Shan Restaurant,3819 Bow Trail SW,Calgary,AB,4
8pBx1vlLXHv2aCiTUWz04w,Wonton King,7070 11 Street SE,Calgary,AB,3
1Cylq9rdQ0JUgXsvvGtDBA,Golden Regency Restaurant,4300 Avenue Steeles E,Markham,ON,3
HAqFrpN8ukzFZuSgTvLijw,Faley Restaurant,42 Rexdale Boulevard,Rexdale,ON,3.5
4WmI1fnjvfI5OyV1B6emAQ,New Choice Restaurant,324 Highway 7 E,Richmond Hill,ON,3.5
9xPK9u_AGM1sxoG2CU9psA,Golden Wok Chinese Restaurant,94 Halsey Avenue,Toronto,ON,3.5
y5OFXka4tt7zHQB6KkFYjQ,Lanzhou Hand Pulled Noodle,8362 Kennedy Road,Markham,ON,2
j7nrPN8fuIrRXnZZvT-i1g,Zuì Là,"115 Times Avenue, unit B2-3",Markham,ON,3
I1AAcPjqCB6iD5aQcm6kjg,Golden Inn Restaurant,107A 2nd Ave SE,Calgary,AB,3.5
zUHz-rUIR7FSvmP7bbemsA,Bayview Kitchen,815 Major MacKenzie Dr E,Richmond Hill,ON,3.5
69opA0U-zaMsIOqyavMq2g,Beef Noodle King,11 Fairburn Drive,Markham,ON,1.5
iJziJyLGEbcgTw79t5a-hw,Hot Star Large Fried Chicken,5525 Yonge Street,Toronto,ON,3.5
5XX1w4WbwSlrACQ5vKuLDw,Pho Saigon Viet-Nam,1053 Boulevard Saint-Laurent,Montréal,QC,4
bHnHcNkORD898OpPq4L5vA,Lei Yue Mun Steam Hot Pot,"240 Alton Towers Circle, Unit 110",Toronto,ON,3.5
8MXjK1lhVRhU3yGCUv9qsA,Mean Bao,"275 Dundas Street W, Suite 19",Toronto,ON,3.5
Ly48L1qSRdLpCSWcs_DWIw,Phoenix Restaurant,7155 Woodbine Avenue,Markham,ON,3
8Fsg2BdHy1e0Pa_TfK58iw,Chi Star House,"9021 Leslie Street, Unit 5-6",Richmond Hill,ON,3
FnRLbAYaQTYQEXHuUTmwMA,Hot Point Fusion Cafe,4340 Macleod Trail SW,Calgary,AB,2.5
7zeopyMwmDrKSJ1RD1UU7w,Mandarin,2206 Eglinton Avenue E,Scarborough,ON,3.5
q80WmfxmifLBdB8_rPYu1w,Fook Hing Restaurant,"499 Ray Lawson Boulevard, Unit 26",Brampton,ON,3.5
CfYZJ81nL6-6fFqS8OMR9Q,Tropical Nights Restaurant & Lounge,1154 Morningside Avenue,Toronto,ON,3
Cbvx1IxPniwo_Ybk4CdIBQ,Tao Tea Leaf,934 Yonge St,Toronto,ON,4.5
teDbCTDdgICtC-pSTzCBAA,DM Chicken,"3250 Midland Avenue, Unit G110 & G111",Toronto,ON,3
ctTiEiUTY_FvnZ0ovBeZWQ,Ho Ga Oriental Cuisine,121 King Street W,Toronto,ON,4
GoOkCxPFM5i5lxHgFQMj1w,Asian Legend,900 Don Mills Road,Toronto,ON,3
S-RaYhvlDg8rgEOxaFeLHw,Peking Express,217 Parliament Street,Toronto,ON,3
g1UVmCOhQDY7TGSZ2rRT_w,Congee Queen,"3850 Sheppard Avenue E, Unit 425",Toronto,ON,3.5
kuvBnJc3bllm2xpuleezIw,China BBQ,"633 Silver Star Boulevard, 110&111",Toronto,ON,3.5
fojiPcgWlM-FJTxZlz4Idg,Mandarin Restaurant - North York,1027 Finch Avenue W,North York,ON,3
CY3N_T_35gqOXkwQbSeSTA,Hong Fatt B-B-Q,443 Dundas Street W,Toronto,ON,3.5
WKayXylpXcAEReoqgNK3tA,The Avenue Restaurant & Lounge,"1085 Bellamy Road N, Unit 4",Scarborough,ON,4
cxe6D9wp3NvQ39Eu9-hZpA,Noodlebox,9 Heritage Gate SE,Calgary,AB,4
yPR8Bh55-9NXmooZS7lrLA,Royal Congee Chinese Cuisine,"4 Greystone Walk Drive, Unit 2",Toronto,ON,4
CPcy22Hd2F7z0EKG66FMRA,The Old House,3 Glen Watford Drive,Toronto,ON,3.5
NaO8109RYqscYu8fLzURsQ,Restaurant Kam DO,971 Decarie Boul,Saint-Laurent,QC,3
2cxAfdLTS7EdxebbBVGuGw,Yummy Vietnamese Cuisine,"3700 Midland Avenue, Unit 108",Scarborough,ON,2.5
jCzrbfboRc3D-9_Gr0Wm9w,SongCook's,"72 Steeles Avenue W, Unit 6",Vaughan,ON,4
lEbOeImbAcgV2Jve4DgC0w,Gee Gong Restaurant,206C Centre Street SE,Calgary,AB,4.5
osvcl7Fh_J5VwUikh5Vskg,City Hollywood Cafe,4372 Steeles Avenue E,Markham,ON,3
F-AYOq1xIY2u_qmWUG5VBw,Hakka Ren,"4555 Hurontario Street, Unit C2",Mississauga,ON,3.5
otKF8cBMSC0kARaBGLMHtg,New Wok New Wok,1 Bass Pro Mills Drive,Concord,ON,2
JRRduMZI2aU3UCjfNEQURA,Qing Hua Chinatown,1019 St Laurent Boulevard,Montréal,QC,3.5
