address,attributes,business_id,categories,city,hours,is_open,latitude,longitude,name,review_count,stars,state
338 Spadina Ave,"{'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""u'no'"", 'GoodForMeal': ""{'dessert': False, 'latenight': True, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'RestaurantsTakeOut': 'True', 'OutdoorSeating': 'False', 'RestaurantsAttire': ""u'casual'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'HasTV': 'False', 'Alcohol': ""u'beer_and_wine'"", 'RestaurantsDelivery': 'True', 'RestaurantsReservations': 'True', 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""u'quiet'"", 'BikeParking': 'True', 'Caters': 'True', 'GoodForKids': 'True'}",_Ss4d4dYzehTmWJGpkqL7w,"Seafood, Chinese, Restaurants",Toronto,"{'Monday': '11:30-4:0', 'Tuesday': '11:30-4:0', 'Wednesday': '11:30-4:0', 'Thursday': '11:30-4:0', 'Friday': '11:30-5:0', 'Saturday': '11:30-5:0', 'Sunday': '11:30-4:0'}",1,43.6540394,-79.3988128,Taste of China,107,3,ON
1245 Du Square-Phillips Rue,"{'NoiseLevel': ""u'average'"", 'RestaurantsAttire': ""u'casual'"", 'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'True', 'Alcohol': ""u'beer_and_wine'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'False', 'HasTV': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'OutdoorSeating': 'True', 'BikeParking': 'True', 'GoodForKids': 'True', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""u'no'""}",_UZR3RZ56PnUO2ZpNba0Kg,"Restaurants, Chinese",Montr̩al,,1,45.5041154,-73.5683923,Soupebol Nouillerie,15,2.5,QC
"18025 Yonge Street, Unit 12","{'GoodForKids': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsTableService': 'True', 'WiFi': ""'free'"", 'OutdoorSeating': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True'}",_W1ke2wRSE058_IjH2aARA,"Restaurants, Chinese",Newmarket,,1,44.0676587,-79.4824287,Hundred Taste,10,4.5,ON
"550 Highway 7 E, Unit 53","{'OutdoorSeating': 'False', 'RestaurantsReservations': 'True', 'BikeParking': 'True', 'Alcohol': ""'none'"", 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'RestaurantsAttire': ""'casual'"", 'HasTV': 'False', 'RestaurantsDelivery': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True'}",_WYb1KDwRxwWfopKVWMYuQ,"Restaurants, Chinese",Richmond Hill,"{'Monday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-22:0'}",0,43.8449445,-79.3844732,La Mere Restaurant,10,4,ON
4020 Finch Avenue E,"{'BikeParking': 'False', 'HasTV': 'False', 'NoiseLevel': ""u'loud'"", 'OutdoorSeating': 'False', 'WiFi': ""u'no'"", 'Caters': 'False', 'RestaurantsPriceRange2': '3', 'RestaurantsReservations': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'Alcohol': ""u'beer_and_wine'"", 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'RestaurantsAttire': ""u'casual'"", 'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'True'}",_xAJZOKBMPOe47p1MphB2w,"Chinese, Restaurants, Live/Raw Food, Seafood",Toronto,"{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-23:0'}",1,43.8019756,-79.295159,Fishman Lobster Clubhouse Restaurant,683,4,ON
"1177 Central Parkway W, Unit 66","{'HasTV': 'False', 'NoiseLevel': ""u'average'"", 'GoodForKids': 'True', 'RestaurantsDelivery': 'False', 'Alcohol': ""u'none'"", 'WiFi': ""u'no'"", 'OutdoorSeating': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsReservations': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsAttire': ""u'casual'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'RestaurantsGoodForGroups': 'True', 'Caters': 'False', 'BikeParking': 'False', 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsTableService': 'True'}",_xt4ZyvtgY8Xu_O6SpSB5A,"Restaurants, Chinese",Mississauga,"{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-23:0'}",1,43.56725112,-79.65958752,Chi's Congee & Noodle House,159,4,ON
300 John Street,"{'RestaurantsAttire': ""'casual'"", 'BikeParking': 'False', 'RestaurantsReservations': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'GoodForKids': 'True', 'HasTV': 'True', 'RestaurantsDelivery': 'True', 'OutdoorSeating': 'False', 'RestaurantsTakeOut': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}""}",_YoPC6DmYegxbPiKIoAKoA,"Restaurants, Chinese",Markham,"{'Monday': '12:0-22:30', 'Tuesday': '12:0-22:30', 'Wednesday': '12:0-22:30', 'Thursday': '12:0-22:30', 'Friday': '12:0-22:30', 'Saturday': '16:0-22:30', 'Sunday': '16:0-22:30'}",1,43.8193417,-79.3996599,Hunan Restaurant and Bar,10,3.5,ON
1011 Upper Middle Road E,"{'RestaurantsAttire': ""u'casual'"", 'RestaurantsDelivery': 'False', 'RestaurantsPriceRange2': '1'}",_zh_cug7ewvQEHT-uwaw8w,"Restaurants, Chinese",Oakville,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '12:0-23:0', 'Sunday': '12:0-22:0'}",1,43.4836206,-79.6949724,China Chopsticks,12,2,ON
5451 Yonge Street,"{'Ambience': 'None', 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'False', 'HasTV': 'True', 'GoodForKids': 'True', 'RestaurantsReservations': 'True', 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '2', 'RestaurantsAttire': ""'casual'"", 'NoiseLevel': ""u'average'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}""}",00I_YBjgZAvd2ggZr3J0cQ,"Chinese, Korean, Restaurants",Toronto,"{'Monday': '11:30-0:0', 'Tuesday': '11:30-0:0', 'Wednesday': '11:30-0:0', 'Thursday': '11:30-0:0', 'Friday': '11:30-0:0', 'Saturday': '11:30-0:0', 'Sunday': '11:30-0:0'}",1,43.77736,-79.4145392,Shanghai Chinese Restaurant,19,3,ON
6 Garamond Court,"{'GoodForKids': 'False', 'BikeParking': 'True', 'RestaurantsPriceRange2': '4', 'RestaurantsGoodForGroups': 'True', 'Alcohol': ""u'beer_and_wine'"", 'RestaurantsDelivery': 'False', 'Caters': 'True', 'RestaurantsAttire': ""u'dressy'"", 'OutdoorSeating': 'False', 'WiFi': ""'no'"", 'RestaurantsReservations': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'upscale': False, 'touristy': False, 'trendy': False, 'hipster': False, 'casual': False}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'NoiseLevel': ""u'quiet'"", 'RestaurantsTakeOut': 'False', 'HasTV': 'False'}",01l8MH9tBK6GPvJQdMU1gw,"Chinese, Japanese, Restaurants",Toronto,,1,43.7264546,-79.3349744,Kaiseki Yu-zen Hashimoto,22,4.5,ON
861 Danforth Avenue,"{'RestaurantsReservations': 'True', 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'False', 'BikeParking': 'True', 'HasTV': 'False', 'WiFi': ""u'no'"", 'Alcohol': ""u'full_bar'"", 'NoiseLevel': ""u'quiet'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'Caters': 'False', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",0d_aewXm7wVlaTW8Glzxdw,"Indian, Chinese, Food, Specialty Food, Restaurants, Ethnic Food",Toronto,"{'Monday': '11:30-22:0', 'Tuesday': '11:30-22:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-22:0', 'Friday': '11:30-22:0', 'Saturday': '11:30-22:0'}",1,43.6797052,-79.3397512,Danforth Dragon,61,3.5,ON
513 Mount Pleasant Rd,"{'WiFi': ""u'no'"", 'RestaurantsAttire': ""u'casual'"", 'GoodForKids': 'False', 'RestaurantsDelivery': 'True', 'RestaurantsPriceRange2': '2'}",0Eqjt54KPklmWTsly9ltyQ,"Ethnic Food, Food, Restaurants, Chinese, Specialty Food",Toronto,,1,43.7019106,-79.387368,South China,13,2.5,ON
2702 Ctr St N,"{'RestaurantsAttire': ""'casual'"", 'RestaurantsDelivery': 'True', 'BikeParking': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'WiFi': ""'no'"", 'Alcohol': ""'full_bar'"", 'OutdoorSeating': 'False', 'RestaurantsTableService': 'True', 'NoiseLevel': ""u'quiet'"", 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'RestaurantsReservations': 'True', 'RestaurantsPriceRange2': '2', 'HasTV': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'WheelchairAccessible': 'True', 'RestaurantsGoodForGroups': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}",0gVPTer9PnXRmSjuHt-XgQ,"Restaurants, Chinese, Seafood",Calgary,"{'Tuesday': '17:0-23:0', 'Wednesday': '17:0-23:0', 'Thursday': '17:0-23:0', 'Friday': '17:0-23:0', 'Saturday': '17:0-23:0', 'Sunday': '17:0-23:0'}",1,51.07623244,-114.062241,Silver Inn Restaurant,10,3.5,AB
8390 Kennedy Road,"{'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': True}"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsTableService': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsReservations': 'False', 'RestaurantsAttire': ""'casual'"", 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '1', 'Caters': 'True', 'Alcohol': ""'none'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'OutdoorSeating': 'False', 'GoodForKids': 'True', 'HasTV': 'True', 'WiFi': ""'free'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'NoiseLevel': ""'average'"", 'BikeParking': 'True'}",0-jZq2P4eN7fRdt4Ls1QZQ,"Chinese, Restaurants, Fast Food, Breakfast & Brunch",Markham,"{'Monday': '7:0-22:0', 'Tuesday': '7:0-22:0', 'Wednesday': '7:0-22:0', 'Thursday': '7:0-22:0', 'Friday': '7:0-22:0', 'Saturday': '7:0-22:0', 'Sunday': '7:0-22:0'}",1,43.8613107,-79.3038618,Ming's Restaurant,40,3,ON
859 Queen Street W,"{'RestaurantsPriceRange2': '2', 'RestaurantsAttire': ""u'casual'"", 'Alcohol': ""u'beer_and_wine'"", 'RestaurantsGoodForGroups': 'False', 'NoiseLevel': ""u'loud'"", 'OutdoorSeating': 'False', 'RestaurantsDelivery': 'True', 'HasTV': 'False', 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",0LA4HKI7ydji1zwnqDbgnw,"Chinese, Thai, Restaurants",Toronto,,0,43.6456613,-79.4115708,Sweet Lulu,34,3.5,ON
1550 Boulevard de Maisonneuve O,"{'RestaurantsPriceRange2': '2', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsAttire': ""u'casual'"", 'NoiseLevel': ""u'average'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsTakeOut': 'True', 'HasTV': 'True', 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True'}",0lUhcajLmtq3H4h9xiiabQ,"Chinese, Restaurants",Montr̩al,,1,45.49586142,-73.57897605,M.Gao,13,3.5,QC
"2890 Major Mackenzie DriveE, Unit 2","{'BikeParking': 'True', 'RestaurantsTableService': 'True', 'WiFi': ""'no'"", 'Alcohol': ""'none'"", 'RestaurantsAttire': ""'casual'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': False}"", 'RestaurantsReservations': 'False', 'HasTV': 'False', 'RestaurantsDelivery': 'False', 'OutdoorSeating': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '1', 'NoiseLevel': ""u'average'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'WheelchairAccessible': 'True', 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'Caters': 'False'}",0M3KCmdY-_xlIu5vEqVq4A,"Chinese, Restaurants",Markham,"{'Monday': '11:0-20:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-20:0', 'Saturday': '10:30-20:0', 'Sunday': '10:30-20:0'}",1,43.88534784,-79.37210307,Wonton Chai Noodle,64,4,ON
