business_id,food.pos,food.neg,service.pos,service.neg,ambience.pos,ambience.neg,price.pos,price.neg,misc.pos,misc.neg,review counts,star,fp,fn,sp,sn,ap,an,pp,pn,mp,mn
_Ss4d4dYzehTmWJGpkqL7w,183.25,-91,165,-105.875,65.75,-37.5,29,-9,24.5,-13,107,3,1.712616822,-0.85046729,1.542056075,-0.989485981,0.614485981,-0.35046729,0.271028037,-0.08411215,0.228971963,-0.121495327
_UZR3RZ56PnUO2ZpNba0Kg,14.25,-19.25,15,-19,0,-10,3,-3,0,-3,15,2.5,0.95,-1.283333333,1,-1.266666667,0,-0.666666667,0.2,-0.2,0,-0.2
_W1ke2wRSE058_IjH2aARA,19,-1,18.25,-2,3.5,-2,3.5,-2,5.5,0,10,4.5,1.9,-0.1,1.825,-0.2,0.35,-0.2,0.35,-0.2,0.55,0
_WYb1KDwRxwWfopKVWMYuQ,47.75,-1.5,20,-6,12,0,2,-1,4.5,-5,10,4,4.775,-0.15,2,-0.6,1.2,0,0.2,-0.1,0.45,-0.5
_xAJZOKBMPOe47p1MphB2w,1880.25,-621.75,1478.25,-835.875,590.875,-269.5,320.75,-113,225.25,-81.25,683,4,2.752928258,-0.910322108,2.164348463,-1.223828697,0.86511713,-0.394582723,0.469619327,-0.165446559,0.329795022,-0.118960469
_xt4ZyvtgY8Xu_O6SpSB5A,333.0625,-112,372.25,-69.25,106.75,-45.5,61.75,-18.5,42.25,-10,159,4,2.094732704,-0.704402516,2.341194969,-0.435534591,0.671383648,-0.286163522,0.38836478,-0.116352201,0.26572327,-0.062893082
_YoPC6DmYegxbPiKIoAKoA,17.5,-4.5,17,-5.5,9.5,-4.5,4.5,0,5,0,10,3.5,1.75,-0.45,1.7,-0.55,0.95,-0.45,0.45,0,0.5,0
_zh_cug7ewvQEHT-uwaw8w,14.5,-14,7,-13.75,0,-2.5,2,0,0,-1,12,2,1.208333333,-1.166666667,0.583333333,-1.145833333,0,-0.208333333,0.166666667,0,0,-0.083333333
00I_YBjgZAvd2ggZr3J0cQ,27,-11,32,-14,14,-4,5.5,-2,18.5,0,19,3,1.421052632,-0.578947368,1.684210526,-0.736842105,0.736842105,-0.210526316,0.289473684,-0.105263158,0.973684211,0
01l8MH9tBK6GPvJQdMU1gw,88.5,-7,89.5,-12.5,13,-4.5,8,-3,14.25,0,22,4.5,4.022727273,-0.318181818,4.068181818,-0.568181818,0.590909091,-0.204545455,0.363636364,-0.136363636,0.647727273,0
0d_aewXm7wVlaTW8Glzxdw,160.75,-36,104,-24,38.5,-8,12.5,-3.5,20.5,-14,61,3.5,2.635245902,-0.590163934,1.704918033,-0.393442623,0.631147541,-0.131147541,0.204918033,-0.057377049,0.336065574,-0.229508197
0Eqjt54KPklmWTsly9ltyQ,10.25,-13.5,8,-8.5,3,-7,1,-1,0,-3.5,13,2.5,0.788461538,-1.038461538,0.615384615,-0.653846154,0.230769231,-0.538461538,0.076923077,-0.076923077,0,-0.269230769
0gVPTer9PnXRmSjuHt-XgQ,39.25,-13,33,-8.5,10,-6,5.5,0,5.5,-1,10,3.5,3.925,-1.3,3.3,-0.85,1,-0.6,0.55,0,0.55,-0.1
0-jZq2P4eN7fRdt4Ls1QZQ,68.5,-50,77.75,-34.5,13.5,-11.5,20.5,-3,6.5,-1,40,3,1.7125,-1.25,1.94375,-0.8625,0.3375,-0.2875,0.5125,-0.075,0.1625,-0.025
0LA4HKI7ydji1zwnqDbgnw,70.5,-21.5,85.75,-25.5,24.375,-9.5,3,0,12.25,-3.5,34,3.5,2.073529412,-0.632352941,2.522058824,-0.75,0.716911765,-0.279411765,0.088235294,0,0.360294118,-0.102941176
0lUhcajLmtq3H4h9xiiabQ,15.75,-11,17,-12,3,-9.5,3,-5,1.5,0,13,3.5,1.211538462,-0.846153846,1.307692308,-0.923076923,0.230769231,-0.730769231,0.230769231,-0.384615385,0.115384615,0
0M3KCmdY-_xlIu5vEqVq4A,204.75,-36,109.75,-31.5,45.375,-11,17.5,-5,14,-6,64,4,3.19921875,-0.5625,1.71484375,-0.4921875,0.708984375,-0.171875,0.2734375,-0.078125,0.21875,-0.09375
0Mhw1lD_Zwsv4Vo6oQrPWA,49,-14,36.5,-20.5,9,-2,4,-1.5,5.5,0,18,3.5,2.722222222,-0.777777778,2.027777778,-1.138888889,0.5,-0.111111111,0.222222222,-0.083333333,0.305555556,0
0nCwewaRirX8wHuSZiaCfg,74,-52.5,102.75,-16.5,20,-12.5,8.5,-7,5,-3.5,37,3.5,2,-1.418918919,2.777027027,-0.445945946,0.540540541,-0.337837838,0.22972973,-0.189189189,0.135135135,-0.094594595
0PM5oFKO29sZmL5efmHxug,447.75,-204.5,231.25,-119.25,86.75,-38.75,63.25,-21,39.5,-16.5,124,3.5,3.610887097,-1.649193548,1.864919355,-0.961693548,0.699596774,-0.3125,0.510080645,-0.169354839,0.318548387,-0.133064516
0qk9V2K2xWgcCeiLGmU3Wg,18,-8,29,-4.5,4,-1,2.5,-1,4,-1,10,3,1.8,-0.8,2.9,-0.45,0.4,-0.1,0.25,-0.1,0.4,-0.1
0R87tcWUqkWXAD5z0vZcuQ,164.75,-77.25,131.875,-59.5,39.125,-38.75,38.5,-9.25,15,-5.5,68,3,2.422794118,-1.136029412,1.939338235,-0.875,0.575367647,-0.569852941,0.566176471,-0.136029412,0.220588235,-0.080882353
0sPOBQHlVvuhO1h-1p1ccQ,161.75,-52.5,165.625,-53,41.5,-28.5,24,-8,14,-7.5,61,3.5,2.651639344,-0.860655738,2.715163934,-0.868852459,0.680327869,-0.467213115,0.393442623,-0.131147541,0.229508197,-0.12295082
0v8icS8wOOgEDiHDCOQkZQ,776.125,-183.5,689.75,-113.5,270.25,-47,90.75,-25.5,100,-24.5,320,4,2.425390625,-0.5734375,2.15546875,-0.3546875,0.84453125,-0.146875,0.28359375,-0.0796875,0.3125,-0.0765625
0vjgAYQ-2mSs51_S75rOQQ,37.5,-43,46,-19,13,-14,11.5,-7.5,3.5,-2,24,3,1.5625,-1.791666667,1.916666667,-0.791666667,0.541666667,-0.583333333,0.479166667,-0.3125,0.145833333,-0.083333333
0VtWeDkqzj9CE3MF0geWYA,50,-50,88.5,-49,8.5,-9.5,13,-6,8.25,-4,27,2.5,1.851851852,-1.851851852,3.277777778,-1.814814815,0.314814815,-0.351851852,0.481481481,-0.222222222,0.305555556,-0.148148148
0XlbdDkYzC14SZF_bUGeXA,28.5,-4.5,12.5,-5,17.75,-1,8.5,0,2,0,15,3.5,1.9,-0.3,0.833333333,-0.333333333,1.183333333,-0.066666667,0.566666667,0,0.133333333,0
0zabNTBrOgQLy0hYsi1Tpg,15.25,-2,28,-5,4,-2,4.5,-1,2,-2,10,4.5,1.525,-0.2,2.8,-0.5,0.4,-0.2,0.45,-0.1,0.2,-0.2
13ngZbrJVhnngzhc-MlXYg,61,-13,49.75,-34,15,-6,11,-2,6,-4,29,3,2.103448276,-0.448275862,1.715517241,-1.172413793,0.517241379,-0.206896552,0.379310345,-0.068965517,0.206896552,-0.137931034
18xmM5Z3fwcI6UD0M4M8mg,53.75,-14.5,24.5,-13.5,9,-11,6,-2,6,-2,11,3,4.886363636,-1.318181818,2.227272727,-1.227272727,0.818181818,-1,0.545454545,-0.181818182,0.545454545,-0.181818182
1bkp1NeTw5yg3hTsldkoPA,25.25,-18,29.25,-21.625,11,-14,5.5,0,5.5,-1,10,3,2.525,-1.8,2.925,-2.1625,1.1,-1.4,0.55,0,0.55,-0.1
1CeWMRJwyFkQ-fc3MR1Dmg,392.9375,-142.25,455.25,-141,87.25,-53.5,67,-17,55,-27.5,159,3.5,2.471305031,-0.894654088,2.863207547,-0.886792453,0.548742138,-0.336477987,0.421383648,-0.106918239,0.34591195,-0.172955975
1Cylq9rdQ0JUgXsvvGtDBA,12,-15.5,21,-14.5,10,-2,2,-3,2,-2,10,3,1.2,-1.55,2.1,-1.45,1,-0.2,0.2,-0.3,0.2,-0.2
1DkpdmcxLCRXAdEi6TdOFw,90,-35.75,74.75,-40,22,-21,9.5,-3,9,-7,45,3.5,2,-0.794444444,1.661111111,-0.888888889,0.488888889,-0.466666667,0.211111111,-0.066666667,0.2,-0.155555556
1FL3oE2mqq_EFAYPd1TWUg,239.5,-234.5,215,-136.75,64.75,-49.75,42.875,-20.5,18,-12.5,124,3,1.931451613,-1.891129032,1.733870968,-1.102822581,0.522177419,-0.401209677,0.345766129,-0.165322581,0.14516129,-0.100806452
1fQWV5PVyo6Gsu16KbotPQ,15,-28,41,-23,25.5,-12,11,-2,4.5,-1,15,4.5,1,-1.866666667,2.733333333,-1.533333333,1.7,-0.8,0.733333333,-0.133333333,0.3,-0.066666667
1HplwLVbBid-Bgw1sEPGFg,25.25,-21,15,-19.5,9.5,-5,2,0,2,-1,12,2,2.104166667,-1.75,1.25,-1.625,0.791666667,-0.416666667,0.166666667,0,0.166666667,-0.083333333
1jNteKQ2JuF6Sk1SI9X23Q,250,-92.75,278.75,-115.25,98.5,-30.25,36.75,-15,43,-17,85,3,2.941176471,-1.091176471,3.279411765,-1.355882353,1.158823529,-0.355882353,0.432352941,-0.176470588,0.505882353,-0.2
1kqLZp0_FEMHGx-W4TjTLQ,25,-19.25,22.75,-15.25,15,-1,9,-7,3,-7,11,4,2.272727273,-1.75,2.068181818,-1.386363636,1.363636364,-0.090909091,0.818181818,-0.636363636,0.272727273,-0.636363636
1lnIoAIB6U5ywPTC2LG8aQ,28.75,-26,38,-17.5,17.5,-10,7,-1,3,-2,14,2,2.053571429,-1.857142857,2.714285714,-1.25,1.25,-0.714285714,0.5,-0.071428571,0.214285714,-0.142857143
1lReBAd4iLe0rBLKiurw7Q,276.25,-130,219,-75.75,74.25,-31,40.5,-9,44,-11.5,90,3,3.069444444,-1.444444444,2.433333333,-0.841666667,0.825,-0.344444444,0.45,-0.1,0.488888889,-0.127777778
1PMwRG0uWGxk2hIVEQj62A,208.75,-214.75,189.25,-128.375,66.5,-41.5,29.75,-11,36.5,-6.5,112,3,1.863839286,-1.917410714,1.689732143,-1.146205357,0.59375,-0.370535714,0.265625,-0.098214286,0.325892857,-0.058035714
1pZk5sw5m8kPTMdvIp6UVA,307.5,-152.5,261,-150.5,95,-61,26.75,-17.5,35.25,-27.75,125,3,2.46,-1.22,2.088,-1.204,0.76,-0.488,0.214,-0.14,0.282,-0.222
1SWHrS6JVc5yLuJtBTds-g,54.5,-11,33,-19,12.5,-11,3,-2,6.5,0,17,4,3.205882353,-0.647058824,1.941176471,-1.117647059,0.735294118,-0.647058824,0.176470588,-0.117647059,0.382352941,0
1uPQTz5XZSWr0ti7kUpaDw,1156.875,-358.25,526.375,-260.75,247.125,-114.25,109.75,-46,103.75,-32,402,4,2.877798507,-0.891169154,1.309390547,-0.648631841,0.614738806,-0.28420398,0.27300995,-0.114427861,0.258084577,-0.07960199
1VAsBosvx02jpvIUxiKvmg,36,-26.5,20,-12,7.75,-4,5,-1,0,-1,22,4.5,1.636363636,-1.204545455,0.909090909,-0.545454545,0.352272727,-0.181818182,0.227272727,-0.045454545,0,-0.045454545
1yAbNyUgJhOjCz9EcOCWdA,76.25,-88,105.5,-57.5,27,-22.5,6.5,-13,27.5,-8,40,3,1.90625,-2.2,2.6375,-1.4375,0.675,-0.5625,0.1625,-0.325,0.6875,-0.2
21aDJ_xLGcEDkcyQRexlOQ,41,-35,34.5,-9.5,2,-12,5.5,-1,9.5,0,14,3.5,2.928571429,-2.5,2.464285714,-0.678571429,0.142857143,-0.857142857,0.392857143,-0.071428571,0.678571429,0
-25X5v1q3WU6s-craJSvTw,31.75,-21.5,29,-8,6,-8.5,7.5,0,9,-1.5,23,3,1.380434783,-0.934782609,1.260869565,-0.347826087,0.260869565,-0.369565217,0.326086957,0,0.391304348,-0.065217391
26Kt6gQRF7S6m7crwR0tjw,212,-14,273.75,-11.5,53.75,-7,44.5,-2,32,-2.5,104,4.5,2.038461538,-0.134615385,2.632211538,-0.110576923,0.516826923,-0.067307692,0.427884615,-0.019230769,0.307692308,-0.024038462
2BuiyGL0JbNjnc88fYH39Q,116.5,-39.5,147.25,-38,32.25,-4,22,-4,9,-3,41,3.5,2.841463415,-0.963414634,3.591463415,-0.926829268,0.786585366,-0.097560976,0.536585366,-0.097560976,0.219512195,-0.073170732
2cxAfdLTS7EdxebbBVGuGw,30.5,-23.375,22.5,-10.5,13,-6,3,-1,3,-9,13,2.5,2.346153846,-1.798076923,1.730769231,-0.807692308,1,-0.461538462,0.230769231,-0.076923077,0.230769231,-0.692307692
2d9RbgRtHJyTRzY99GBNOQ,100.25,-44.5,93.25,-47,32.5,-16.5,19,-4,21,-8,46,3.5,2.179347826,-0.967391304,2.027173913,-1.02173913,0.706521739,-0.358695652,0.413043478,-0.086956522,0.456521739,-0.173913043
2dSXKC4BQUFSqsiziNFwtA,47.125,-14,22.5,-15,13.25,-4.5,18,0,6,-1,19,4,2.480263158,-0.736842105,1.184210526,-0.789473684,0.697368421,-0.236842105,0.947368421,0,0.315789474,-0.052631579
2e19A9GaSfor4HQc0jxe4Q,84.5,-69.75,72,-49.5,21.5,-7,15,-9.5,10,-5,40,3,2.1125,-1.74375,1.8,-1.2375,0.5375,-0.175,0.375,-0.2375,0.25,-0.125
2FImjoBv0qvq9NumhcVOyA,131.25,-37.5,104,-41.75,25,-24,14.5,-4,21.25,-12.5,64,3,2.05078125,-0.5859375,1.625,-0.65234375,0.390625,-0.375,0.2265625,-0.0625,0.33203125,-0.1953125
2gDHQELrlq3jVuZZfJeWUg,141.875,-53.5,138.375,-26.5,55.25,-10,13,-5,14.25,-3,51,4,2.781862745,-1.049019608,2.713235294,-0.519607843,1.083333333,-0.196078431,0.254901961,-0.098039216,0.279411765,-0.058823529
2hekiyi_LtQCO2fJcObQkg,36,-2,33,-1,13,-1,5,-2,7,0,14,4.5,2.571428571,-0.142857143,2.357142857,-0.071428571,0.928571429,-0.071428571,0.357142857,-0.142857143,0.5,0
2jkJ7odjlDIvDqJf2dwzaA,17,-12,7,-14,5.5,-3,4,-5,1,0,13,3,1.307692308,-0.923076923,0.538461538,-1.076923077,0.423076923,-0.230769231,0.307692308,-0.384615385,0.076923077,0
2KOXNZVoxpcwen_JmIQdfA,244.25,-74.5,258.75,-76,77.75,-16.5,46.5,-7,52.25,-9,124,4,1.969758065,-0.600806452,2.086693548,-0.612903226,0.627016129,-0.133064516,0.375,-0.056451613,0.421370968,-0.072580645
2-l_q7HBRak5i6X46l0OHw,61,-32.5,46,-39,13,-12.5,4,-9,9.5,-1,23,3,2.652173913,-1.413043478,2,-1.695652174,0.565217391,-0.543478261,0.173913043,-0.391304348,0.413043478,-0.043478261
2meb5cwKh125tF5IwUiIJA,389.25,-60.5,163.75,-57.25,75.25,-20,64.5,-17,53.75,-12,127,4,3.06496063,-0.476377953,1.289370079,-0.450787402,0.592519685,-0.157480315,0.507874016,-0.133858268,0.423228346,-0.094488189
2MSqfWIaD58x7eysFN-9qA,103.5,-35,56.25,-38,24,-18,6,-5.5,8,-1,43,3.5,2.406976744,-0.813953488,1.308139535,-0.88372093,0.558139535,-0.418604651,0.139534884,-0.127906977,0.186046512,-0.023255814
2OB0p5idPAicilqf_wzHLQ,57.5,-14,40,-8,23.5,-11.5,11.5,0,14.5,-1.75,31,3.5,1.85483871,-0.451612903,1.290322581,-0.258064516,0.758064516,-0.370967742,0.370967742,0,0.467741935,-0.056451613
2Q89PhkcyT9uZnQORmqMKg,891.5,-379.25,696.8125,-370.875,239.375,-108.25,139.375,-58.5,102.75,-39.375,345,3.5,2.584057971,-1.099275362,2.019746377,-1.075,0.69384058,-0.313768116,0.403985507,-0.169565217,0.297826087,-0.114130435
2rJQgNBjjZrYotlZgvBdLg,27.5,-7.5,10,-17,2,-5,1.5,-1.75,1.5,-4.5,13,3,2.115384615,-0.576923077,0.769230769,-1.307692308,0.153846154,-0.384615385,0.115384615,-0.134615385,0.115384615,-0.346153846
2SyYW8GiDZsqtPb-aCbosg,199,-38.875,122.875,-40.5,47,-16.5,18.25,-10,19.5,-5,75,4,2.653333333,-0.518333333,1.638333333,-0.54,0.626666667,-0.22,0.243333333,-0.133333333,0.26,-0.066666667
2tiFUn8EU0EpjWBHjt1L6w,29.75,-41.5,27.5,-44.75,11.5,-16,5.5,-2,7,-4,33,2,0.901515152,-1.257575758,0.833333333,-1.356060606,0.348484848,-0.484848485,0.166666667,-0.060606061,0.212121212,-0.121212121
2UdoeXzcFg87O1VMCc3WGQ,249,-86.625,205,-98,65.25,-35,38,-19.75,37.5,-16,90,3.5,2.766666667,-0.9625,2.277777778,-1.088888889,0.725,-0.388888889,0.422222222,-0.219444444,0.416666667,-0.177777778
2UFl9gLOQrSGY2sPu6U-kA,469.625,-142.5,484.25,-130.625,130.5,-73.75,41,-24,63.5,-25.375,134,3.5,3.504664179,-1.063432836,3.61380597,-0.974813433,0.973880597,-0.550373134,0.305970149,-0.179104478,0.473880597,-0.189365672
2ZEnhnWEascgZDMdf6kfAg,24.75,-8.5,44.5,-6,6,-3,9.5,-2,2,-1,21,4,1.178571429,-0.404761905,2.119047619,-0.285714286,0.285714286,-0.142857143,0.452380952,-0.095238095,0.095238095,-0.047619048
2ZHk1x5ZH687aPVo4ElYAA,58.75,-38.5,53.25,-26.75,23.5,-13.5,5,-3,7,-2,32,3,1.8359375,-1.203125,1.6640625,-0.8359375,0.734375,-0.421875,0.15625,-0.09375,0.21875,-0.0625
2zmsElyBgX5MT7dWoxsQlA,26.5,-15,23.75,-8.875,5,-8,2,-4,5,-3,11,2.5,2.409090909,-1.363636364,2.159090909,-0.806818182,0.454545455,-0.727272727,0.181818182,-0.363636364,0.454545455,-0.272727273
2ZZp5V8N0nHlsml01XBJUQ,113,-52.5,89.25,-34,26.75,-9.5,8.5,-1,7,-7,40,3.5,2.825,-1.3125,2.23125,-0.85,0.66875,-0.2375,0.2125,-0.025,0.175,-0.175
3a3ZSTEhFNnmvBhMwW3fSA,27.5,-2,28.25,-4,1,-2,2,0,5,0,12,4,2.291666667,-0.166666667,2.354166667,-0.333333333,0.083333333,-0.166666667,0.166666667,0,0.416666667,0
3C3mydBzZmfzzIt5D5_kOA,53,-35,67.5,-17.5,14,-8.5,6.5,-1,5,-1,28,3,1.892857143,-1.25,2.410714286,-0.625,0.5,-0.303571429,0.232142857,-0.035714286,0.178571429,-0.035714286
3cAy1gxlprn1ue0q3L_ziw,460,-135.75,371.75,-82,113.5,-46.5,49.5,-12.5,64.75,-9,149,3.5,3.087248322,-0.911073826,2.494966443,-0.55033557,0.761744966,-0.312080537,0.332214765,-0.083892617,0.434563758,-0.060402685
3DXJ7lXJJKHPnydtX_1Mug,65.75,-23,43.25,-15,11.5,-4,7,-1,5,-2,24,3,2.739583333,-0.958333333,1.802083333,-0.625,0.479166667,-0.166666667,0.291666667,-0.041666667,0.208333333,-0.083333333
3FekhBpUmAWXBCvXBhuqVQ,44,-10,19.5,-10,16,-5.5,5.5,-5.5,7,0,16,3.5,2.75,-0.625,1.21875,-0.625,1,-0.34375,0.34375,-0.34375,0.4375,0
3fw2X5bZYeW9xCz_zGhOHg,358.875,-88.5,194.125,-98.75,94,-36,36,-10,43.5,-7,122,3.5,2.941598361,-0.725409836,1.591188525,-0.80942623,0.770491803,-0.295081967,0.295081967,-0.081967213,0.356557377,-0.057377049
3HeX5ZAaPesR0psjGHtI6g,40.75,-5,24.5,-10,18,-2,11,-3,4.5,-3,18,3.5,2.263888889,-0.277777778,1.361111111,-0.555555556,1,-0.111111111,0.611111111,-0.166666667,0.25,-0.166666667
3ijLguDlxXRDSPHSVrikPQ,57.5,-21.25,27,-39,20,-12.5,9.5,-9,5.5,-5,20,3.5,2.875,-1.0625,1.35,-1.95,1,-0.625,0.475,-0.45,0.275,-0.25
3iq7mvnwfYlOmdzENYolng,54.5,-21,56.5,-37.5,15.5,-8,7,-1,4,-7.5,28,3,1.946428571,-0.75,2.017857143,-1.339285714,0.553571429,-0.285714286,0.25,-0.035714286,0.142857143,-0.267857143
3Kx4IdA-knGK-9QrGtGl2w,20.25,-11,18.75,-6.5,11.5,0,10.5,-4.5,5,0,11,3.5,1.840909091,-1,1.704545455,-0.590909091,1.045454545,0,0.954545455,-0.409090909,0.454545455,0
3l_rMuRs97IKEA1DCZokOA,119.75,-64.5,100.75,-52.5,29,-17.25,18,-3,14,-7.5,48,3,2.494791667,-1.34375,2.098958333,-1.09375,0.604166667,-0.359375,0.375,-0.0625,0.291666667,-0.15625
3ot6ucvk6eG6Zgtzc2-gwg,36,-7,32,-5,3.5,-1,5,-1,1,0,17,3.5,2.117647059,-0.411764706,1.882352941,-0.294117647,0.205882353,-0.058823529,0.294117647,-0.058823529,0.058823529,0
3PhF188adiC8ZutKRP9gyQ,202.75,-91.5,119.375,-72.25,49.25,-26,41,-7,19,-13,71,3,2.855633803,-1.288732394,1.681338028,-1.017605634,0.693661972,-0.366197183,0.577464789,-0.098591549,0.267605634,-0.183098592
3pTp_EDVffBFTUNKCOXjdw,13.25,-11,8,-14,2,0,3,-1,4,0,10,2.5,1.325,-1.1,0.8,-1.4,0.2,0,0.3,-0.1,0.4,0
3pYZMSbOKh6rBo_DapMlyw,61.875,-23,60,-16,9,-7,21.25,-1,3.5,-2,24,3.5,2.578125,-0.958333333,2.5,-0.666666667,0.375,-0.291666667,0.885416667,-0.041666667,0.145833333,-0.083333333
3qjztON1RW5Hn6QJLDl8ug,387,-204.625,339.375,-171.75,87.5,-53.75,61.5,-31.5,75,-20.5,129,3.5,3,-1.58624031,2.630813953,-1.331395349,0.678294574,-0.416666667,0.476744186,-0.244186047,0.581395349,-0.158914729
3rHMaoarZ13Qrafr2DeFcA,57.25,-24.75,56.75,-10.75,20,-5,12,-2,11,-2,21,3,2.726190476,-1.178571429,2.702380952,-0.511904762,0.952380952,-0.238095238,0.571428571,-0.095238095,0.523809524,-0.095238095
410NJLoLryd-vYNwRA58pw,124.25,-119,149.25,-105.5,80,-30,22,-15,29,-11.5,81,3,1.533950617,-1.469135802,1.842592593,-1.302469136,0.987654321,-0.37037037,0.271604938,-0.185185185,0.358024691,-0.141975309
43V5SUyC04za5ITSvRndog,140.25,-46.75,114.5,-62,33,-17.25,20,-8.5,27,-7.25,54,4,2.597222222,-0.865740741,2.12037037,-1.148148148,0.611111111,-0.319444444,0.37037037,-0.157407407,0.5,-0.134259259
47WDyaBzlYK24wY1m_XnsA,86.5,-34.25,91.25,-59.25,40.125,-11.5,7,-6,9,-6.5,40,3,2.1625,-0.85625,2.28125,-1.48125,1.003125,-0.2875,0.175,-0.15,0.225,-0.1625
4e_kgP5CBbWwZCYEbConPA,40.5,-11.5,60.5,-9,9,-2,3,-3,7,-2,27,3.5,1.5,-0.425925926,2.240740741,-0.333333333,0.333333333,-0.074074074,0.111111111,-0.111111111,0.259259259,-0.074074074
4eAKvnILoB8n4wUWd3uy3Q,107,-83,121.75,-51,41.25,-13,22,-2,12,-5,47,3,2.276595745,-1.765957447,2.590425532,-1.085106383,0.877659574,-0.276595745,0.468085106,-0.042553191,0.255319149,-0.106382979
4egAyQgylMPJgngmNGCloA,135.25,-51,153.5,-31,47.5,-22.5,35.5,-7,12.25,-1,64,4,2.11328125,-0.796875,2.3984375,-0.484375,0.7421875,-0.3515625,0.5546875,-0.109375,0.19140625,-0.015625
4etFlEdWOTx3WhFldxW6XA,45.75,-7.5,58,-27,12.5,-7.5,9,-3.5,6,0,22,3.5,2.079545455,-0.340909091,2.636363636,-1.227272727,0.568181818,-0.340909091,0.409090909,-0.159090909,0.272727273,0
4FEb2SzmU_l7SCQAbvW5Hg,730,-163.5,611.75,-126.5,207.375,-42,84.5,-27.5,110.125,-14.5,157,4,4.649681529,-1.041401274,3.896496815,-0.805732484,1.320859873,-0.267515924,0.538216561,-0.175159236,0.701433121,-0.092356688
4GVh_mSD7f7DfhEnBF-j-g,49.5,-6.5,25.5,-14,6,-1.5,6.5,-3,7,-7.5,22,3.5,2.25,-0.295454545,1.159090909,-0.636363636,0.272727273,-0.068181818,0.295454545,-0.136363636,0.318181818,-0.340909091
4h0JeXtiLaqqpB-9-V7few,202,-64,206.375,-50.25,85.5,-14.5,12,-3,20.5,-5.5,67,4,3.014925373,-0.955223881,3.080223881,-0.75,1.276119403,-0.21641791,0.179104478,-0.044776119,0.305970149,-0.082089552
4IrX-f_4TqmrKhb7egiZag,208.5,-60.875,156,-67,61.25,-21.5,20,-4,22.5,-5.5,72,3,2.895833333,-0.845486111,2.166666667,-0.930555556,0.850694444,-0.298611111,0.277777778,-0.055555556,0.3125,-0.076388889
4KHo1LnkM69RtWTDBdG16g,172.875,-62,132.25,-80.75,41,-22.25,21.5,-5,17,-10,48,3,3.6015625,-1.291666667,2.755208333,-1.682291667,0.854166667,-0.463541667,0.447916667,-0.104166667,0.354166667,-0.208333333
4kkh8Uj0jG7olKEocCASrQ,24.5,-14,22,-24.5,8.5,-9,3,-2,6,-2,12,3.5,2.041666667,-1.166666667,1.833333333,-2.041666667,0.708333333,-0.75,0.25,-0.166666667,0.5,-0.166666667
